condition,generation,cumulative_evals,mean_best_so_far,std_best_so_far,mean_pop_mean_fitness,mean_pop_best_fitness,mean_pop_worst_fitness
dynamic_constant,0,100,18.245128030234888,0.3673610205265498,20.791401776311886,18.245128030234888,23.321888261971548
dynamic_constant,1,200,15.623435233766136,0.4141024171540983,20.279016243791837,15.623435233766136,31.97814932062794
dynamic_constant,2,300,15.142930141947755,0.4292669303834105,18.48633456865553,15.158932670771424,27.957538907302393
dynamic_constant,3,400,14.963269902281235,0.3681037899098854,17.290236022341727,15.01302281789206,23.20434792755384
dynamic_constant,4,500,14.680688306039688,0.3054352774420573,16.679959478669254,14.726042596014207,20.443795323313402
dynamic_constant,5,600,14.52447202388818,0.3555166650645639,16.373590743659314,14.570264545580951,19.296174786046173
dynamic_constant,6,700,14.394827663580196,0.32442504271722317,16.170732144565115,14.490590057185694,19.523128732147455
dynamic_constant,7,800,14.311272975920321,0.3020614641234415,16.064304608905562,14.415510721823068,18.906975612565383
dynamic_constant,8,900,14.193933976310902,0.32931607385680944,15.913854585344286,14.31046371387466,18.849025013504612
dynamic_constant,9,1000,14.088608429871531,0.252293153307127,15.849840006283094,14.259806156460922,18.904576563149988
dynamic_constant,10,1100,13.996549295461168,0.2793099598261062,15.8433550119648,14.127938794925111,19.02106465823687
dynamic_constant,11,1200,13.903520673964511,0.38839753927628656,15.770816899119728,14.095147411072976,18.59159477890342
dynamic_constant,12,1300,13.756899251419668,0.3741138464568462,15.676621335126793,13.918840713601409,19.047832196446336
dynamic_constant,13,1400,13.689678535555993,0.3692831962809368,15.645561954092926,13.8221232288615,18.87513758768436
dynamic_constant,14,1500,13.671299424386708,0.34140266564840127,15.626045873287882,13.936738510849747,19.014199628091845
dynamic_constant,15,1600,13.645228751716166,0.36248106460552026,15.61000430667838,13.942230800016068,18.99641803959792
dynamic_constant,16,1700,13.56690397656114,0.35394703387260135,15.55646712329118,13.795634193571605,18.943830748152955
dynamic_constant,17,1800,13.540108743783923,0.3399380023836059,15.486980306631551,13.858887166031892,18.984589485971533
dynamic_constant,18,1900,13.490506924743395,0.32030818184801546,15.489717045378075,13.759989664867893,18.955397700077263
dynamic_constant,19,2000,13.442462416185853,0.3161457926954511,15.500580821836024,13.718740318627273,19.32193956792954
dynamic_constant,20,2100,13.420679469543927,0.3111847813970892,15.45766419897441,13.706055425841546,19.163946187189893
dynamic_constant,21,2200,13.41429018542535,0.30635106765731873,15.424734005540651,13.657404028694879,18.769008121956134
dynamic_constant,22,2300,13.412069158199781,0.3074092977819015,15.387653054398404,13.686811844661284,19.087177898958842
dynamic_constant,23,2400,13.381625683429368,0.3002626128857753,15.349804368948522,13.6352174354601,18.516663190265355
dynamic_constant,24,2500,13.359527554394191,0.3170609041992369,15.362900556250244,13.633452725190063,18.814867609763393
dynamic_constant,25,2600,13.35471655099702,0.31667807143960014,15.341125715702324,13.64516016985541,18.49724857780323
dynamic_constant,26,2700,13.318973835660282,0.3047703617123409,15.332051788395379,13.582266542325595,18.907104615561273
dynamic_constant,27,2800,13.304767356912444,0.3128971433268966,15.325637962954747,13.486605023396773,18.632252603930358
dynamic_constant,28,2900,13.243784989275628,0.33212968895332534,15.317879628549033,13.456823468995598,18.565304414546965
dynamic_constant,29,3000,13.21503658940745,0.3354341978828442,15.312866471568881,13.532587764527543,18.810652197931173
dynamic_constant,30,3100,13.158807592868367,0.337253257411994,15.257214609747336,13.424572722713055,19.11557496589709
dynamic_constant,31,3200,13.15125251309506,0.32642689048866036,15.332154176691272,13.513490881362955,18.81201655828737
dynamic_constant,32,3300,13.14234016979465,0.31320258840161774,15.335493155565155,13.584917223532354,18.766633376894227
dynamic_constant,33,3400,13.099281533346609,0.3231794955838043,15.293017020760143,13.530298813543842,18.772039979130064
dynamic_constant,34,3500,13.08790246812435,0.31255704012576524,15.299316817152771,13.433230691680611,18.67493190597962
dynamic_constant,35,3600,13.0715592430442,0.31214611060143305,15.296992105556086,13.412761218345846,18.648719844503425
dynamic_constant,36,3700,13.033976414918238,0.27941198698640557,15.281700133592626,13.347605369540057,19.16296015177348
dynamic_constant,37,3800,13.023948578025843,0.2864814365875025,15.28913114509937,13.36058118626185,19.05255769396566
dynamic_constant,38,3900,13.008280927421472,0.25566756055638484,15.24526665642524,13.409647947974932,18.62180397904509
dynamic_constant,39,4000,12.985136924061072,0.2744816085726771,15.211542019684842,13.379235092419629,18.64561400332895
dynamic_constant,40,4100,12.98228287910283,0.2741231037448887,15.22583930183043,13.505431976650428,18.794249342859747
dynamic_constant,41,4200,12.976611328858775,0.26260570431370067,15.24623923394619,13.375019979318449,18.641237463169976
dynamic_constant,42,4300,12.976611328858775,0.26260570431370067,15.213481208724682,13.419685189815732,18.662428315022172
dynamic_constant,43,4400,12.954728368105558,0.24885719465387926,15.241062317744177,13.345441538179818,18.795552652935037
dynamic_constant,44,4500,12.935938456783939,0.23032512183218282,15.220358792156455,13.453289695815835,19.20383732173223
dynamic_constant,45,4600,12.935938456783939,0.23032512183218282,15.172355405554182,13.324772481309292,18.804759196011798
dynamic_constant,46,4700,12.935938456783939,0.23032512183218282,15.171254428543033,13.439665518378868,18.93289670459848
dynamic_constant,47,4800,12.93526081315564,0.23011561601774114,15.169440487817539,13.35086425520593,18.847270866700125
dynamic_constant,48,4900,12.934415572629865,0.22990722164811034,15.167216496612676,13.379360324236185,18.63459514843793
dynamic_constant,49,5000,12.90521224212518,0.24699736429494343,15.175457366154628,13.379851218512794,19.02144151428043
dynamic_constant,50,5100,12.90521224212518,0.24699736429494343,15.138812483407284,13.368508052060099,18.882193779797156
dynamic_exponential,0,100,18.245128030234888,0.3673610205265498,20.791401776311886,18.245128030234888,23.321888261971548
dynamic_exponential,1,200,15.535244526241124,0.4346298206070353,20.061153436835106,15.535244526241124,31.042178782226255
dynamic_exponential,2,300,15.085556710491247,0.32843135195928985,18.275109630066854,15.12330469990306,27.751820877112586
dynamic_exponential,3,400,14.9183960272503,0.24019427893789877,17.09438699036126,15.014994193512285,22.925479927885156
dynamic_exponential,4,500,14.73871484244722,0.3247201165499461,16.573893631509726,14.783843588582958,20.247813018924223
dynamic_exponential,5,600,14.584015347237601,0.3194543387367866,16.349744288824578,14.695672054679843,19.53166546899744
dynamic_exponential,6,700,14.489940272789648,0.325063890811621,16.210431050216037,14.601389002037743,18.889989121658765
dynamic_exponential,7,800,14.384290604099736,0.397901957826261,16.12436371551768,14.491621961945436,18.743918760130892
dynamic_exponential,8,900,14.305938191409826,0.35350638077740826,16.087280310345772,14.47103487654735,19.173936445241367
dynamic_exponential,9,1000,14.236048424561508,0.3305932229626659,16.01506900869154,14.419349411162406,18.94673237804407
dynamic_exponential,10,1100,14.12660438878161,0.2739220444359703,15.942792368505469,14.237867135973332,18.751977022533133
dynamic_exponential,11,1200,14.02727101110965,0.35517115956430256,15.905962333163206,14.214061768740057,18.810418973374656
dynamic_exponential,12,1300,13.9381380885028,0.3177033064942596,15.834233552725006,14.131785689134365,18.513504402333012
dynamic_exponential,13,1400,13.906207861048319,0.31438139464623094,15.797554758073332,14.12619413649864,18.849440099037043
dynamic_exponential,14,1500,13.86178710774125,0.3123335681578108,15.786587663961999,14.099524840029844,18.606277152298972
dynamic_exponential,15,1600,13.77062188392778,0.32973765985817544,15.729516559243802,14.024452692132858,18.517704813710363
dynamic_exponential,16,1700,13.676980447954417,0.322844301935535,15.669443915548015,13.881382823492089,18.7558799350815
dynamic_exponential,17,1800,13.641888873726302,0.31321705166922564,15.62651499801459,13.879088135987377,18.750416234375887
dynamic_exponential,18,1900,13.579151267580272,0.3049857887873128,15.60838549656263,13.868565722417102,18.992650533178207
dynamic_exponential,19,2000,13.518199765044855,0.26916685968368576,15.533715772532483,13.803050794424347,18.95911342269006
dynamic_exponential,20,2100,13.48476677461072,0.2633998810793715,15.536903938659432,13.73879710739262,18.81677486530555
dynamic_exponential,21,2200,13.465657761792858,0.2539339896406201,15.471714170521897,13.759657807191008,18.61137807498214
dynamic_exponential,22,2300,13.430508085467437,0.26934391729338614,15.463523147077392,13.671642226666538,18.645658694451033
dynamic_exponential,23,2400,13.397885569416351,0.30006761038989754,15.436835601916275,13.632688520794204,18.72445261657453
dynamic_exponential,24,2500,13.363122349377829,0.26092353027864096,15.433207741079453,13.638312452589512,18.844773602499096
dynamic_exponential,25,2600,13.305049518165479,0.24655594017944027,15.4332414092296,13.596176591223742,18.84469524357307
dynamic_exponential,26,2700,13.28883290412546,0.27369100661603224,15.37092899541013,13.571575039737677,18.743975193451135
dynamic_exponential,27,2800,13.285372237641692,0.2744913828191375,15.309456754989935,13.600624209199959,18.69194814397423
dynamic_exponential,28,2900,13.256949031535736,0.30150616994710405,15.302810071232722,13.559821187478141,18.847895089260255
dynamic_exponential,29,3000,13.2008625596509,0.3148367671102533,15.298057056933038,13.48977611730848,18.71105377602013
dynamic_exponential,30,3100,13.200582518953102,0.31458786654301324,15.269877132806993,13.602798552373496,18.636781695495078
dynamic_exponential,31,3200,13.163213034440924,0.30617206249972106,15.275170242704371,13.52618962550093,18.480181759777327
dynamic_exponential,32,3300,13.142293855658817,0.30150057004739045,15.24877226159694,13.439130772412279,18.64225140091009
dynamic_exponential,33,3400,13.123817400584239,0.2987845571174745,15.204290625984607,13.49163675660004,18.933161418659186
dynamic_exponential,34,3500,13.10729716741145,0.2918527357803301,15.175511259889968,13.405482358774162,18.910420762893576
dynamic_exponential,35,3600,13.088176000869439,0.27313462143817235,15.180268662476408,13.442063152727897,18.54924227662524
dynamic_exponential,36,3700,13.03030441463415,0.2782702542532607,15.152405077795947,13.340927941560238,18.558428885084787
dynamic_exponential,37,3800,13.025726748615364,0.2850541782690685,15.14740806771755,13.399437054361385,18.78721542631035
dynamic_exponential,38,3900,13.01624949942159,0.276769469302198,15.122860159820558,13.39928931911229,18.84731497193172
dynamic_exponential,39,4000,13.005562379036942,0.2801609323744969,15.080386205348868,13.327325993173426,18.721437284526267
dynamic_exponential,40,4100,12.984478300976312,0.29891419877903147,15.053147800273868,13.360158461942039,18.55145522533823
dynamic_exponential,41,4200,12.974167316207176,0.29517749351210093,15.06666752748291,13.334834836101086,18.53320239218851
dynamic_exponential,42,4300,12.960102161632879,0.3008119812281905,15.038825011456277,13.329210843165413,18.525043444735697
dynamic_exponential,43,4400,12.945971606871817,0.3050072507932335,15.062420514529013,13.253668843378444,19.017572057757626
dynamic_exponential,44,4500,12.945971606871817,0.3050072507932335,15.02589678798915,13.309838684067861,18.744320669020247
dynamic_exponential,45,4600,12.945971606871817,0.3050072507932335,15.001260860257569,13.234308413352522,18.9492815492911
dynamic_exponential,46,4700,12.925525302643702,0.31123006346665644,15.01074256586262,13.260885778903603,18.671786909476793
dynamic_exponential,47,4800,12.924559234778135,0.3100749481846956,15.021933208928601,13.318159939451178,18.501186486003615
dynamic_exponential,48,4900,12.917212486400189,0.3042637772619144,14.972342997013147,13.265979514713957,18.906819937873998
dynamic_exponential,49,5000,12.91685442778611,0.3038169865789704,14.976743928215097,13.225337369988747,18.57892585110351
dynamic_exponential,50,5100,12.90202198234675,0.3135114774173407,14.958934725352728,13.166056592991714,18.970659749912603
random_search,0,100,18.245128030234888,0.3673610205265498,20.791401776311886,18.245128030234888,23.321888261971548
random_search,1,200,17.932556446801698,0.33779072632646845,20.82357477033614,18.16269582804633,23.274328756768988
random_search,2,300,17.85441007932305,0.29769571788171156,20.789202117855787,18.272990587534203,23.421088669556646
random_search,3,400,17.833562184963238,0.29495719280407257,20.82248451520375,18.221354997599185,23.2800709112631
random_search,4,500,17.769256043373666,0.2801303033855269,20.818440774792844,18.253750797581016,23.317174170316285
random_search,5,600,17.55666022648283,0.38742836362879096,20.79471091591011,18.10788647286328,23.139229107477956
random_search,6,700,17.517941567878363,0.3617304811191555,20.795585445510778,18.06656797810332,23.331625437358415
random_search,7,800,17.49024635356062,0.3486874423182133,20.8602062018022,18.259786649948865,23.284423206800884
random_search,8,900,17.45120923162447,0.33824940148678273,20.795642483112264,18.029873294709184,23.396812989400683
random_search,9,1000,17.45120923162447,0.33824940148678273,20.79188214236711,18.17724073756301,23.272353230968754
random_search,10,1100,17.45120923162447,0.33824940148678273,20.773721926601507,18.23727035785204,23.164622474941762
random_search,11,1200,17.437610265433488,0.3280791410037795,20.785482505013228,18.31910300066918,23.421019806596984
random_search,12,1300,17.390475199487543,0.3007715374278688,20.792274113748825,18.163837958418718,23.31466709476942
random_search,13,1400,17.380918851435148,0.30143282238051283,20.79515787898156,18.192535277035457,23.26671966546827
random_search,14,1500,17.369719589879146,0.29333842084364886,20.7780097661066,18.170813024747666,23.230781401447057
random_search,15,1600,17.369719589879146,0.29333842084364886,20.79377785102681,18.231761473903433,23.147415337976895
random_search,16,1700,17.369719589879146,0.29333842084364886,20.796056491625368,18.158136055351736,23.285885801038354
random_search,17,1800,17.319138544790185,0.3177627838065279,20.74584938029037,18.072506095272978,23.19107920463765
random_search,18,1900,17.299343506945387,0.3176934298590628,20.77677133597322,18.080668245409022,23.206152933124244
random_search,19,2000,17.269787830717195,0.31063632652488626,20.79582038182364,18.11525828733837,23.39157967027951
random_search,20,2100,17.2578600883729,0.2984537927127624,20.83092943456557,18.280414790402247,23.23766361343835
random_search,21,2200,17.238978894662665,0.29050221594788106,20.79334367840985,18.16174770201377,23.268497155994222
random_search,22,2300,17.230208244522913,0.2837005220318635,20.82037203016855,18.160880576223626,23.273831467409714
random_search,23,2400,17.230208244522913,0.2837005220318635,20.802978721423763,18.21901264552051,23.22456727322045
random_search,24,2500,17.230208244522913,0.2837005220318635,20.785762603312754,18.12851337068657,23.344324255168438
