condition,runs,mean,std,median,min,max
dynamic_constant,20,12.90521224212518,0.24699736429494343,12.859600181455807,12.448683298050513,13.467707825203131
dynamic_exponential,20,12.90202198234675,0.3135114774173407,12.988949930696963,12.369535971483266,13.366190378969058
random_search,20,17.126858442608913,0.23541832306095384,17.2,16.378232998312527,17.460232526704264
