condition,seed,generation,cumulative_evals,pop_mean_fitness,pop_std_fitness,best_so_far
dynamic_constant,0,0,100,20.797298156446587,0.9663858374888888,18.72736184954957
dynamic_constant,0,1,200,20.05052685480081,2.3523900039976637,15.489979919597747
dynamic_constant,0,2,300,18.536043798362343,1.7437314795523433,15.476819745345026
dynamic_constant,0,3,400,17.39220838799475,1.66767265395592,15.066060555964672
dynamic_constant,0,4,500,16.64904871176122,0.7871317118686452,14.781934729198172
dynamic_constant,0,5,600,16.466348557280153,0.8679562895976242,14.781934729198172
dynamic_constant,0,6,700,16.152496099483926,0.6835970681482668,14.239607805437114
dynamic_constant,0,7,800,16.035638835984752,0.8201118695171651,14.239607805437114
dynamic_constant,0,8,900,15.808784708818157,0.7400995450312801,14.239607805437114
dynamic_constant,0,9,1000,15.89651329961458,0.8313623545384886,14.239607805437114
dynamic_constant,0,10,1100,15.775264221898064,0.7479582299629185,14.239607805437114
dynamic_constant,0,11,1200,15.773752684707654,0.7815983664690969,14.239607805437114
dynamic_constant,0,12,1300,15.713438698904787,0.8200692256066902,14.077154105707724
dynamic_constant,0,13,1400,15.877472765703114,1.2437191573206483,14.077154105707724
dynamic_constant,0,14,1500,15.871968506939309,0.8913328977012174,14.009980079602226
dynamic_constant,0,15,1600,15.794884806295126,0.9583895118909729,14.009980079602226
dynamic_constant,0,16,1700,15.721495115622062,1.0177226537141484,13.792838827718413
dynamic_constant,0,17,1800,15.713171217121417,0.9127118311410293,13.792838827718413
dynamic_constant,0,18,1900,15.757366868964313,0.9417766937766276,13.792838827718413
dynamic_constant,0,19,2000,15.917045511108784,0.8226406335380573,13.792838827718413
dynamic_constant,0,20,2100,16.02499037801671,1.1966269325869934,13.792838827718413
dynamic_constant,0,21,2200,15.871257709894458,0.9199734200332591,13.792838827718413
dynamic_constant,0,22,2300,15.893695230055934,0.8820546205909628,13.792838827718413
dynamic_constant,0,23,2400,15.848496311833188,0.8983409440042532,13.792838827718413
dynamic_constant,0,24,2500,15.784002300314217,1.0634316411754778,13.792838827718413
