seed,constant,exponential,delta_exponential_minus_constant
0,13.467707825203131,13.01657508881031,-0.4511327363928217
1,12.948331477354788,13.171779788708136,0.22344831135334786
2,12.799999999999999,12.87082869338697,0.07082869338697151
3,12.840967364599086,12.673320053068151,-0.16764731153093493
4,12.589897948556635,13.255294535724685,0.6653965871680505
5,12.799999999999999,12.707106781186548,-0.09289321881345103
6,12.760681686165901,12.394427190999917,-0.3662544951659843
7,12.993737745050923,12.369535971483266,-0.6242017735676573
8,12.672004514666936,12.547722557505166,-0.12428195716177015
9,12.72474487139159,12.378232998312527,-0.34651187307906284
10,12.98309518948453,13.16770782520313,0.18461263571860087
11,12.878232998312527,13.048808848170152,0.17057584985762553
12,12.448683298050513,13.292838827718413,0.8441555296678995
13,13.012403840463595,13.063818169698585,0.051414329234990674
14,13.162049935181331,13.069535971483266,-0.09251396369806564
15,12.671779788708136,12.686796226411321,0.015016437703184948
16,12.803329637837292,13.366190378969058,0.5628607411317663
17,13.024807680927193,13.26332495807108,0.23851727714388637
18,13.127361849549569,12.735270009440733,-0.39209184010883646
19,13.394427190999917,12.961324772583616,-0.4331024184163006
