condition,seed,generation,cumulative_evals,pop_best_fitness,pop_mean_fitness,pop_worst_fitness,pop_std_fitness,best_so_far
dynamic_constant,0,0,100,18.72736184954957,20.797298156446587,23.24400902933387,0.9663858374888888,18.72736184954957
dynamic_constant,0,1,200,14.861547262794321,20.2816150884664,28.00554700852678,2.291084812785688,14.861547262794321
dynamic_constant,0,2,300,14.861547262794321,19.214994281545497,29.334846922834956,3.0343108386986604,14.861547262794321
dynamic_constant,0,3,400,14.646536616149586,17.6881503274129,27.11980390271856,1.8823284458857203,14.646536616149586
dynamic_constant,0,4,500,14.63901391331568,16.687486258287667,21.330950643030008,1.1744097731619547,14.63901391331568
dynamic_constant,0,5,600,14.263976744055029,16.367129397916475,21.54880884817015,1.1880606945212955,14.263976744055029
dynamic_constant,0,6,700,14.105547008526779,16.06833127855152,23.764911064067352,1.2244286425904265,14.105547008526779
dynamic_constant,0,7,800,14.140175425099137,15.603851455784689,18.193737745050925,0.8267365758355847,14.105547008526779
dynamic_constant,0,8,900,13.914213562373096,15.472709087027347,18.7131126469709,0.830893897119038,13.914213562373096
dynamic_constant,0,9,1000,13.914213562373096,15.613209964760697,24.42756668824971,1.2925336934779048,13.914213562373096
dynamic_constant,0,10,1100,13.919803902718558,15.471815509939299,19.61245154965971,0.9644475175757423,13.914213562373096
dynamic_constant,0,11,1200,13.869535971483266,15.36788881612617,18.66794833886788,0.9690200164711879,13.869535971483266
dynamic_constant,0,12,1300,13.991153452528778,15.498246045802023,19.761706725018236,1.1286622421553913,13.869535971483266
dynamic_constant,0,13,1400,13.700000000000001,15.660465904754767,20.20293863659264,1.0709928973396203,13.700000000000001
dynamic_constant,0,14,1500,13.06332495807108,15.42992417009556,19.394427190999917,1.0683397811353608,13.06332495807108
dynamic_constant,0,15,1600,13.260232526704263,15.235444520419895,18.50830459735946,0.9262581191337983,13.06332495807108
dynamic_constant,0,16,1700,13.260232526704263,15.434560910804969,19.319160170741757,1.3162764005304106,13.06332495807108
dynamic_constant,0,17,1800,13.336660026534076,15.26755095327476,19.92756668824971,1.0371202402999156,13.06332495807108
dynamic_constant,0,18,1900,13.448331477354788,15.303407691202768,20.640175425099137,1.3311492759169632,13.06332495807108
dynamic_constant,0,19,2000,13.512403840463595,15.098525267039964,19.214944167960986,1.118189571947616,13.06332495807108
dynamic_constant,0,20,2100,13.467707825203131,15.341663355580351,20.21909059582729,1.2494297748014591,13.06332495807108
dynamic_constant,0,21,2200,13.336660026534076,15.037761099871352,18.588409872672514,1.0729486908649868,13.06332495807108
dynamic_constant,0,22,2300,13.207106781186548,15.067740935505743,18.908304597359457,1.0823427680213713,13.06332495807108
dynamic_constant,0,23,2400,13.254723699099141,15.130195394744307,20.52828568570857,1.2832047892765073,13.06332495807108
dynamic_constant,0,24,2500,12.978232998312528,15.091638289099931,20.673320053068153,1.1573545907661171,12.978232998312528
dynamic_constant,0,25,2600,12.978232998312528,15.066310904676289,19.43130005674953,1.353024167856046,12.978232998312528
dynamic_constant,0,26,2700,13.254723699099141,14.736404844206888,18.683095189484533,1.1234747863052306,12.978232998312528
dynamic_constant,0,27,2800,13.307878402833891,14.92730389207479,20.736877428271626,1.3314284486246335,12.978232998312528
dynamic_constant,0,28,2900,13.254723699099141,15.079037991165473,21.20199920063936,1.5489455670818333,12.978232998312528
dynamic_constant,0,29,3000,13.1431676725155,14.847090456130179,21.840967364599088,1.2160422463524292,12.978232998312528
dynamic_constant,0,30,3100,13.254723699099141,14.732262044092352,20.67979589711327,1.0219151414675811,12.978232998312528
dynamic_constant,0,31,3200,13.254723699099141,14.969168032509675,19.978232998312528,1.2486252530598592,12.978232998312528
dynamic_constant,0,32,3300,13.563818169698585,15.014965111499539,19.72736184954957,1.0705595727874186,12.978232998312528
dynamic_constant,0,33,3400,13.557583690279023,15.151895177208042,19.927105745132007,1.195790732641158,12.978232998312528
dynamic_constant,0,34,3500,13.336660026534076,15.088836628270029,20.563324958071078,1.039573065118738,12.978232998312528
dynamic_constant,0,35,3600,13.336660026534076,15.18131969984351,18.30332963783729,0.9814903170328936,12.978232998312528
dynamic_constant,0,36,3700,13.423538406167134,15.332463359951209,20.45472369909914,1.230273910657206,12.978232998312528
dynamic_constant,0,37,3800,13.48309518948453,15.261684816359294,19.54880884817015,1.269117347600711,12.978232998312528
dynamic_constant,0,38,3900,13.478232998312528,15.277995587327082,19.923538406167136,1.2414727523640148,12.978232998312528
dynamic_constant,0,39,4000,13.478232998312528,15.30479500691021,20.727566688249706,1.294304839702633,12.978232998312528
dynamic_constant,0,40,4100,13.512403840463595,15.208370965817194,19.59666295470958,1.2053181720051864,12.978232998312528
dynamic_constant,0,41,4200,12.944948974278317,14.872532890470568,19.099999999999998,0.9104011959242017,12.944948974278317
dynamic_constant,0,42,4300,13.36287388383278,14.93092441435831,20.872004514666937,1.297156373083619,12.944948974278317
dynamic_constant,0,43,4400,12.944948974278317,14.864968658390191,18.674021572639983,1.216111674171102,12.944948974278317
dynamic_constant,0,44,4500,12.944948974278317,14.474694941070807,17.020465053408525,0.7984698951760543,12.944948974278317
dynamic_constant,0,45,4600,12.944948974278317,14.842266500758901,20.256465996625053,1.4424754268930369,12.944948974278317
dynamic_constant,0,46,4700,13.044948974278318,14.856258054276745,20.830950643030008,1.2479759165091604,12.944948974278317
dynamic_constant,0,47,4800,13.274165738677395,14.69768330090002,18.512403840463595,0.9485866650070659,12.944948974278317
dynamic_constant,0,48,4900,13.447213595499958,14.856387803777102,19.880624847486573,1.1090823483933412,12.944948974278317
dynamic_constant,0,49,5000,13.43469899493758,14.959655978488271,21.063818169698585,1.4316850600347337,12.944948974278317
dynamic_constant,0,50,5100,13.264911064067352,15.058303309994463,21.33622914957372,1.4166034788071815,12.944948974278317
dynamic_constant,1,0,100,18.456465996625056,20.880490305213378,23.971750305430742,1.0861954924259782,18.456465996625056
dynamic_constant,1,1,200,16.01109401705356,20.249556152728584,31.12664991614216,2.6445911405519715,16.01109401705356
dynamic_constant,1,2,300,15.70998338865848,18.644141018782154,31.33622914957372,2.4403120087669965,15.70998338865848
dynamic_constant,1,3,400,15.236877428271624,17.119966550907208,21.49582971014219,1.3485481116485498,15.236877428271624
dynamic_constant,1,4,500,14.983294573433785,16.503823848848967,18.21882341631134,0.7015109710360273,14.983294573433785
dynamic_constant,1,5,600,14.595451410656818,16.24666684165823,19.22089730686545,0.7664162792865586,14.595451410656818
dynamic_constant,1,6,700,14.708607914449798,16.028119168337536,17.93295878967653,0.7076452313841965,14.595451410656818
dynamic_constant,1,7,800,14.449545416973503,15.847558534257423,17.61269819963779,0.6036972496271487,14.449545416973503
dynamic_constant,1,8,900,14.63901391331568,15.692069535290022,17.991660871578098,0.7314161834189424,14.449545416973503
dynamic_constant,1,9,1000,14.32763633939717,15.823686718253082,18.040658617698014,0.7784585935365104,14.32763633939717
dynamic_constant,1,10,1100,14.32763633939717,15.811286793646792,18.8459060435492,0.8567375364367273,14.32763633939717
