seed,constant,exponential,delta_exponential_minus_constant
0,12.944948974278317,12.914213562373096,-0.030735411905221
1,12.595445115010332,12.460232526704262,-0.13521258830606975
2,12.878404875209021,12.22736184954957,-0.651043025659451
3,12.569535971483266,12.866190378969058,0.29665440748579286
4,13.047722557505166,13.48309518948453,0.43537263197936404
5,12.80384048104053,12.547722557505166,-0.25611792353536345
6,12.589897948556635,12.662049935181331,0.07215198662469646
7,12.799999999999999,12.9,0.10000000000000142
8,12.960232526704262,13.483239697419133,0.5230071707148714
9,12.707106781186548,12.419803902718558,-0.2873028784679903
10,13.008304597359459,12.880624847486569,-0.12767974987288966
11,13.380624847486569,12.48309518948453,-0.8975296580020391
12,12.389897948556635,13.219090595827293,0.8291926472706574
13,12.557583690279023,13.3,0.7424163097209782
14,13.341640786499873,12.799999999999999,-0.5416407864998742
15,12.66770782520313,12.80990195135928,0.14219412615614857
16,12.894427190999917,12.992838827718412,0.09841163671849529
17,12.200000000000001,13.557583690279023,1.3575836902790215
18,12.632455532033676,12.334846922834952,-0.2976086091987238
19,13.069535971483266,12.7295630140987,-0.3399729573845658
