schedule_index,offspring_generation,exponential_probability,constant_probability
0,1,0.8,0.18179290817012236
1,2,0.7768149426385775,0.18179290817012236
2,3,0.7543018188832207,0.18179290817012236
3,4,0.7324411552099297,0.18179290817012236
4,5,0.7112140424631688,0.18179290817012236
5,6,0.6906021194997216,0.18179290817012236
6,7,0.6705875573065704,0.18179290817012236
7,8,0.6511530435790591,0.18179290817012236
8,9,0.6322817677460024,0.18179290817012236
9,10,0.6139574064287866,0.18179290817012236
10,11,0.5961641093218847,0.18179290817012236
11,12,0.578886485482573,0.18179290817012236
12,13,0.5621095900179909,0.18179290817012236
13,14,0.5458189111580249,0.18179290817012236
14,15,0.5300003577028399,0.18179290817012236
15,16,0.5146402468341965,0.18179290817012236
16,17,0.49972529228001217,0.18179290817012236
17,18,0.4852425928219301,0.18179290817012236
18,19,0.4711796211359528,0.18179290817012236
19,20,0.4575242129564898,0.18179290817012236
20,21,0.44426455655444497,0.18179290817012236
21,22,0.43138918252024283,0.18179290817012236
22,23,0.41888695384295654,0.18179290817012236
23,24,0.406747056276956,0.18179290817012236
24,25,0.3949589889877423,0.18179290817012236
25,26,0.38351255546887947,0.18179290817012236
26,27,0.3723978547221649,0.18179290817012236
27,28,0.3616052726934098,0.18179290817012236
28,29,0.3511254739564229,0.18179290817012236
29,30,0.34094939363800253,0.18179290817012236
30,31,0.33106822957695337,0.18179290817012236
31,32,0.32147343471034556,0.18179290817012236
32,33,0.31215670968042947,0.18179290817012236
33,34,0.30310999565581237,0.18179290817012236
34,35,0.2943254673606867,0.18179290817012236
35,36,0.28579552630608046,0.18179290817012236
36,37,0.277512794217275,0.18179290817012236
37,38,0.26947010665170484,0.18179290817012236
38,39,0.2616605068018193,0.18179290817012236
39,40,0.25407723947754546,0.18179290817012236
40,41,0.24671374526314704,0.18179290817012236
41,42,0.23956365484342523,0.18179290817012236
42,43,0.23262078349435422,0.18179290817012236
43,44,0.2258791257333846,0.18179290817012236
44,45,0.219332850124789,0.18179290817012236
45,46,0.21297629423555464,0.18179290817012236
46,47,0.2068039597374615,0.18179290817012236
47,48,0.20081050765110856,0.18179290817012236
48,49,0.1949907537277744,0.18179290817012236
49,50,0.1893396639651176,0.18179290817012236
50,51,0.18385235025283794,0.18179290817012236
51,52,0.17852406614453248,0.18179290817012236
52,53,0.17335020275208826,0.18179290817012236
53,54,0.16832628475906156,0.18179290817012236
54,55,0.1634479665495941,0.18179290817012236
55,56,0.1587110284495188,0.18179290817012236
56,57,0.15411137307640324,0.18179290817012236
57,58,0.14964502179537328,0.18179290817012236
58,59,0.14530811127765195,0.18179290817012236
59,60,0.14109689015883659,0.18179290817012236
60,61,0.1370077157940229,0.18179290817012236
61,62,0.1330370511069705,0.18179290817012236
62,63,0.1291814615305835,0.18179290817012236
63,64,0.1254376120360598,0.18179290817012236
64,65,0.12180226424813992,0.18179290817012236
65,66,0.1182722736439596,0.18179290817012236
66,67,0.11484458683308325,0.18179290817012236
67,68,0.11151623891636589,0.18179290817012236
68,69,0.10828435092135834,0.18179290817012236
69,70,0.10514612731203823,0.18179290817012236
70,71,0.10209885357071194,0.18179290817012236
