condition,generation,cumulative_evals,mean_best_so_far,std_best_so_far,mean_pop_mean_fitness
mutation_only,0,100,18.419672130848515,0.34826595956510076,20.743398515503145
mutation_only,1,200,15.648343362030648,0.1887856285158862,19.540723716812813
mutation_only,2,300,15.178410140874494,0.6425835211508103,18.2196644856267
mutation_only,3,400,15.021665802862554,0.5581014756211523,17.101093423357984
mutation_only,4,500,14.917013205796456,0.5160969314832897,16.563250945131237
mutation_only,5,600,14.77956048647492,0.44451063510850886,16.264091385773053
mutation_only,6,700,14.628322880180054,0.3969996123664017,16.05613937847952
mutation_only,7,800,14.472931831716972,0.28853362669937016,15.934918800576224
mutation_only,8,900,14.411271704734549,0.2912277749949642,15.775314605347523
mutation_only,9,1000,14.364014183317348,0.2642991355932221,15.690594295924916
mutation_only,10,1100,14.161712875162323,0.32667540694357816,15.558042412552805
mutation_only,11,1200,14.121073245906938,0.30355923372956173,15.493334033504402
mutation_only,12,1300,13.946393284083555,0.36141113788981416,15.393811382819269
mutation_only,13,1400,13.841035791957827,0.3821524567570391,15.295615501819768
mutation_only,14,1500,13.832391369145133,0.3742669662367519,15.217669937262835
mutation_only,15,1600,13.732571152611637,0.38457803423644954,15.14812892103657
mutation_only,16,1700,13.732571152611637,0.38457803423644954,15.106876155834334
mutation_only,17,1800,13.623039957788814,0.3197365413073948,15.166611184600322
mutation_only,18,1900,13.623039957788814,0.3197365413073948,15.17196695258084
mutation_only,19,2000,13.588774552261782,0.3049769523749796,15.129824173608139
mutation_only,20,2100,13.452537821884931,0.3572027345464827,15.120377827826378
mutation_only,21,2200,13.452537821884931,0.3572027345464827,15.059130702846739
mutation_only,22,2300,13.452537821884931,0.3572027345464827,15.02483019733333
mutation_only,23,2400,13.452537821884931,0.3572027345464827,15.002012521669002
mutation_only,24,2500,13.452537821884931,0.3572027345464827,15.003845148105876
mutation_only,25,2600,13.452537821884931,0.3572027345464827,15.025035722167354
mutation_only,26,2700,13.452537821884931,0.3572027345464827,15.031645939605635
mutation_only,27,2800,13.452537821884931,0.3572027345464827,15.044002994897724
mutation_only,28,2900,13.396973298524676,0.39021448002216463,15.05700422529974
mutation_only,29,3000,13.396973298524676,0.39021448002216463,15.107359688468296
mutation_only,30,3100,13.396973298524676,0.39021448002216463,15.070571632359059
mutation_only,31,3200,13.385705931534506,0.37032640860215177,15.01519218741924
mutation_only,32,3300,13.385705931534506,0.37032640860215177,15.026205052196914
mutation_only,33,3400,13.385705931534506,0.37032640860215177,15.034232226627832
mutation_only,34,3500,13.385705931534506,0.37032640860215177,14.96504886374026
mutation_only,35,3600,13.307827223054598,0.24569286194609738,14.93255370992775
mutation_only,36,3700,13.307827223054598,0.24569286194609738,14.934913505743108
mutation_only,37,3800,13.278538119988468,0.27611112174043084,14.907789944271874
mutation_only,38,3900,13.278538119988468,0.27611112174043084,14.894024995539855
mutation_only,39,4000,13.278538119988468,0.27611112174043084,14.892685315904464
mutation_only,40,4100,13.278538119988468,0.27611112174043084,14.910037505587528
mutation_only,41,4200,13.278538119988468,0.27611112174043084,14.89186808867224
mutation_only,42,4300,13.266871496922885,0.2648533850304803,14.866183695223219
