condition,seed,generation,cumulative_evals,pop_mean_fitness,pop_std_fitness,best_so_far
mutation_only,0,0,100,20.797298156446587,0.9663858374888888,18.72736184954957
mutation_only,0,1,200,19.613367195888962,1.2695227169064207,15.704834939252004
mutation_only,0,2,300,18.060450202520183,1.4757338445888057,13.917800560721073
mutation_only,0,3,400,16.925532888415006,1.0150276902619255,13.917800560721073
mutation_only,0,4,500,16.49047405098099,0.7567377523671129,13.917800560721073
mutation_only,0,5,600,16.15956932990042,0.5873127899576432,13.917800560721073
mutation_only,0,6,700,15.82811600717703,0.6067732654874544,13.917800560721073
mutation_only,0,7,800,15.705390034564482,0.6202971534242969,13.917800560721073
mutation_only,0,8,900,15.556147726397409,0.5799616489764942,13.917800560721073
mutation_only,0,9,1000,15.415173302857433,0.567694609968328,13.917800560721073
mutation_only,0,10,1100,15.310193757799636,0.611713413125406,13.910844001658269
mutation_only,0,11,1200,15.278131586583692,0.6203618758909761,13.910844001658269
mutation_only,0,12,1300,15.230646889940099,0.6565322353138839,13.714944167960988
mutation_only,0,13,1400,15.110196653728364,0.5598329455658015,13.429705854077836
mutation_only,0,14,1500,15.007942556571566,0.5539538316742941,13.429705854077836
mutation_only,0,15,1600,14.845627777913602,0.5232895766169969,13.429705854077836
mutation_only,0,16,1700,14.91118691626207,0.5792675953940402,13.429705854077836
mutation_only,0,17,1800,14.874478169274402,0.6133262561354803,13.429705854077836
mutation_only,0,18,1900,14.926021972312382,0.6076949519165865,13.429705854077836
mutation_only,0,19,2000,14.849942363375838,0.5855515099556705,13.429705854077836
mutation_only,0,20,2100,14.806898416538203,0.656162888438,13.095445115010332
mutation_only,0,21,2200,14.727162429290791,0.5807858369960849,13.095445115010332
mutation_only,0,22,2300,14.685480397446602,0.6702458037087605,13.095445115010332
mutation_only,0,23,2400,14.563764896330587,0.5397920208225405,13.095445115010332
mutation_only,0,24,2500,14.588228030981895,0.578120093217681,13.095445115010332
mutation_only,0,25,2600,14.619143379368218,0.6011141243011017,13.095445115010332
mutation_only,0,26,2700,14.602295325878886,0.5939077695858376,13.095445115010332
mutation_only,0,27,2800,14.563151351789333,0.5359822472180668,13.095445115010332
mutation_only,0,28,2900,14.596723000347993,0.5496619895938925,13.095445115010332
mutation_only,0,29,3000,14.669550040958411,0.5949054771647431,13.095445115010332
mutation_only,0,30,3100,14.660594980593423,0.5404874023757773,13.095445115010332
mutation_only,0,31,3200,14.6006215408529,0.538571558810181,13.095445115010332
mutation_only,0,32,3300,14.708258292720778,0.5590657825070379,13.095445115010332
mutation_only,0,33,3400,14.763591510670738,0.6207837401813843,13.095445115010332
mutation_only,0,34,3500,14.534928485450525,0.5718572764198138,13.095445115010332
mutation_only,0,35,3600,14.54687496009554,0.6037909878472637,13.095445115010332
mutation_only,0,36,3700,14.400951887869642,0.584319740191111,13.095445115010332
mutation_only,0,37,3800,14.498771507277345,0.6932860500006135,12.948999599679679
mutation_only,0,38,3900,14.328552978044597,0.5922689638467352,12.948999599679679
mutation_only,0,39,4000,14.354125033693144,0.7415924782871754,12.948999599679679
mutation_only,0,40,4100,14.326199907368068,0.6260740633089337,12.948999599679679
mutation_only,0,41,4200,14.348813476731832,0.7332196316271773,12.948999599679679
mutation_only,0,42,4300,14.270116856756497,0.5761777514510161,12.948999599679679
mutation_only,0,43,4400,14.315232461172398,0.6148154793627089,12.948999599679679
mutation_only,0,44,4500,14.241342576974324,0.62070915519842,12.948999599679679
mutation_only,0,45,4600,14.183236445580892,0.6254826613170996,12.948999599679679
mutation_only,0,46,4700,14.216566542388016,0.6529316487747147,12.760232526704263
mutation_only,0,47,4800,14.275419969893099,0.6901022674333317,12.547722557505166
mutation_only,0,48,4900,14.292340183672389,0.6668957169438146,12.547722557505166
mutation_only,0,49,5000,14.315828935767993,0.6904248315927584,12.547722557505166
mutation_only,0,50,5100,14.130776458969764,0.6195090409653496,12.547722557505166
mutation_only,1,0,100,20.880490305213378,1.0861954924259782,18.456465996625056
mutation_only,1,1,200,19.601553610762984,1.2088870712449573,15.557965224510319
mutation_only,1,2,300,18.333995654821624,1.2504699117201492,15.31069386451104
mutation_only,1,3,400,17.268210143972205,1.0085995891476687,15.16794833886788
mutation_only,1,4,500,16.56469377147606,0.6037378734250622,14.976819745345026
mutation_only,1,5,600,16.300516306606486,0.5245356764296651,14.976819745345026
mutation_only,1,6,700,16.108335193388715,0.5766410857368955,14.73072757526625
mutation_only,1,7,800,16.024349966223493,0.6330557691586653,14.524845673131658
mutation_only,1,8,900,15.79745964603251,0.6130233349778075,14.290724809414742
mutation_only,1,9,1000,15.829461982968487,0.5819362335788008,14.280697580112786
mutation_only,1,10,1100,15.666964104498666,0.6608903312279523,14.254723699099141
mutation_only,1,11,1200,15.510215725800254,0.6396021943581722,14.234387974463898
mutation_only,1,12,1300,15.430582238379621,0.6490978844489214,14.234387974463898
mutation_only,1,13,1400,15.203314498629853,0.7074120641028803,13.992838827718412
mutation_only,1,14,1500,15.077177594548278,0.6225612960672955,13.992838827718412
mutation_only,1,15,1600,15.148584686470421,0.7311147905277956,13.493737745050923
mutation_only,1,16,1700,14.968916902790674,0.6641513175694691,13.493737745050923
mutation_only,1,17,1800,15.13898035230701,0.7546508864314321,13.493737745050923
mutation_only,1,18,1900,15.019885518437,0.6209883247952247,13.493737745050923
mutation_only,1,19,2000,15.043873152409779,0.713177802374597,13.427566688249707
mutation_only,1,20,2100,14.937862448563031,0.816488853164589,13.172004514666936
mutation_only,1,21,2200,14.885690711457212,0.6494157636254902,13.172004514666936
mutation_only,1,22,2300,14.871789395506253,0.7264008746273186,13.172004514666936
mutation_only,1,23,2400,14.898645515373842,0.7199295098086702,13.172004514666936
mutation_only,1,24,2500,14.906924143173006,0.6785001118888143,13.172004514666936
mutation_only,1,25,2600,15.03670583246099,0.6986420785267796,13.172004514666936
mutation_only,1,26,2700,15.033618796032409,0.63470142287863,13.172004514666936
mutation_only,1,27,2800,15.018628875706508,0.7447515967179652,13.172004514666936
mutation_only,1,28,2900,15.038231977300239,0.6784046051853201,13.172004514666936
