experiment,condition,generation,cumulative_evals,initial_mean_generation_best,final_mean_generation_best,threshold,mean_generation_best_at_checkpoint
original_0.8_to_0.2,dynamic_constant,8,900,18.245128030234888,13.368508052060099,14.343832047695056,14.31046371387466
original_0.8_to_0.2,dynamic_exponential,12,1300,18.245128030234888,13.166056592991714,14.181870880440348,14.131785689134365
extreme_0.8_to_0.01,dynamic_constant,9,1000,18.245128030234888,13.127864942496194,14.151317560043932,14.062379220971417
extreme_0.8_to_0.01,dynamic_exponential,11,1200,18.245128030234888,13.046223942128432,14.086004759749724,13.937326084180583
