seed,constant,exponential,delta_exponential_minus_constant
30,12.547722557505166,12.207106781186548,-0.34061577631861795
31,12.785229954635271,12.589897948556635,-0.19533200607863677
32,12.4,12.366190378969058,-0.03380962103094198
33,13.172004514666936,12.544948974278318,-0.6270555403886178
34,13.35870331449229,12.700000000000001,-0.6587033144922891
35,12.569535971483266,12.792838827718413,0.22330285623514712
36,12.757583690279022,12.56287388383278,-0.1947098064462427
37,12.571779788708135,12.889897948556635,0.3181181598485008
38,12.6,12.671779788708136,0.0717797887081364
39,12.18309518948453,12.274165738677395,0.09107054919286561
40,12.571779788708135,12.700000000000001,0.12822021129186645
41,12.840967364599086,12.640967364599085,-0.20000000000000107
42,12.569535971483266,12.377032961426902,-0.19250301005636317
43,12.760232526704263,12.460232526704262,-0.3000000000000007
44,12.569535971483266,12.460232526704262,-0.10930344477900356
45,12.632455532033676,12.634846922834953,0.002391390801276927
46,12.834846922834952,12.634846922834953,-0.1999999999999993
47,12.478232998312528,12.700000000000001,0.2217670016874731
48,12.389897948556635,12.209901951359278,-0.17999599719735748
49,12.619803902718557,12.394427190999917,-0.22537671171864027
