condition,generation,cumulative_evals,mean_best_so_far,std_best_so_far,mean_pop_mean_fitness,mean_pop_best_fitness,mean_pop_worst_fitness
dynamic_constant,0,100,18.288010479173316,0.4443184481842299,20.80452527724013,18.288010479173316,23.247101515741257
dynamic_constant,1,200,15.762361477372972,0.44355276916535064,20.376533633980102,15.762361477372972,31.057277890007377
dynamic_constant,2,300,15.171609538454812,0.375016675072384,18.89108327165504,15.227856240654384,30.307181322157412
dynamic_constant,3,400,14.98246832680039,0.42724009925140954,17.528434290211656,15.031637615745954,24.310875082544367
dynamic_constant,4,500,14.787064422684413,0.33696276615495113,16.745350238962168,14.802799090437901,21.554443951612786
dynamic_constant,5,600,14.595035156382053,0.3062524127931918,16.347389633846266,14.62125312400423,19.293848161768047
dynamic_constant,6,700,14.40993093077499,0.270100074551807,16.103397951906352,14.459616875342013,19.02090219406386
dynamic_constant,7,800,14.314129353495787,0.33053266883563814,15.948641993622724,14.413828304744266,18.775529758658227
dynamic_constant,8,900,14.212242091370811,0.3223273918354132,15.848628437272438,14.268597328070996,19.097453094896494
dynamic_constant,9,1000,14.105965884664744,0.29277341758566566,15.776253465902784,14.22353510683701,19.33141608717102
dynamic_constant,10,1100,13.979736537599786,0.3732746255693647,15.658542647820472,14.126312228360172,18.692325241982132
dynamic_constant,11,1200,13.928973634009964,0.37735180608710456,15.630660454112004,14.106041425009328,18.75801642309123
dynamic_constant,12,1300,13.822976814438572,0.3698418356638844,15.525020002328308,13.95595186888065,18.830494507260497
dynamic_constant,13,1400,13.72630039192982,0.3753533113032749,15.476196457343303,13.823143902893364,18.678519967669196
dynamic_constant,14,1500,13.667763585961904,0.3600469026696739,15.429127237402046,13.808951637676392,18.412435956876948
dynamic_constant,15,1600,13.636784371762037,0.34353825325392406,15.405718358957552,13.785172232659779,18.959215051620895
dynamic_constant,16,1700,13.577801817490704,0.3445293491192671,15.336701391315719,13.727275426951994,18.89251854134404
dynamic_constant,17,1800,13.566199961683477,0.3398826735643703,15.30445694599673,13.729515602607083,18.738921397055105
dynamic_constant,18,1900,13.534492343463834,0.3292350185616302,15.267744876712959,13.704040695264187,18.58882309249686
dynamic_constant,19,2000,13.480313521858239,0.30544740042734,15.311009140898486,13.638782045467176,18.72933630444874
dynamic_constant,20,2100,13.449648798181077,0.28239652266130644,15.26269048621899,13.578517919027362,19.01353378584556
dynamic_constant,21,2200,13.392193628864415,0.31221156682556045,15.202726922613417,13.551521000243131,18.594143280752824
dynamic_constant,22,2300,13.319861568465427,0.26919003208504466,15.224298188935569,13.474609241431713,18.913692209423353
dynamic_constant,23,2400,13.25716413326488,0.24441817274407293,15.163749436731075,13.46395162302177,18.633388099898646
dynamic_constant,24,2500,13.244233613401601,0.22804812290766,15.105618968852657,13.502580241764903,18.49033713599001
dynamic_constant,25,2600,13.23498000316919,0.23966994602661212,15.09077406816812,13.517593939095395,18.2878862823868
dynamic_constant,26,2700,13.218250063803628,0.23072284521348757,15.11052427460584,13.508686861248739,18.462070074836667
dynamic_constant,27,2800,13.203227257979737,0.24127768680199393,15.070188291376539,13.513803685756182,18.255548439806432
dynamic_constant,28,2900,13.177398113667513,0.23304190335252678,15.059914649695477,13.403621998033449,18.5240529090852
dynamic_constant,29,3000,13.12690674479084,0.2445017772565373,15.06781513663536,13.324554462292236,18.511970858783506
dynamic_constant,30,3100,13.101555114960945,0.25723388004299175,15.046539722614,13.284188873969393,18.775339334159693
dynamic_constant,31,3200,13.096870319270412,0.25496000463296725,15.030657151558767,13.344307268708558,18.66157193324231
dynamic_constant,32,3300,13.068701399722794,0.27225233823177375,15.021018978282317,13.317248224305299,18.67323555305654
dynamic_constant,33,3400,13.057868818557154,0.2739546601310275,15.031245802810565,13.323451648869124,18.81673216210607
dynamic_constant,34,3500,13.025616169227083,0.28524822410747497,15.009787397742418,13.305420529211025,19.041408199896573
dynamic_constant,35,3600,13.02549435461781,0.28514133130263297,14.971475889951687,13.336699526667985,18.32708498795956
dynamic_constant,36,3700,13.01690145334781,0.27822322796053817,14.969541130546748,13.304719079164082,18.69248718647822
dynamic_constant,37,3800,13.000613689943645,0.31053862480405714,14.972007077152549,13.218527329571682,18.44029663528008
dynamic_constant,38,3900,12.996054366356177,0.3096180571423119,14.94883732159666,13.25211736883512,18.489834808952452
dynamic_constant,39,4000,12.980952329580171,0.3175629399562604,14.93571178730814,13.27907227758873,18.506203197164968
dynamic_constant,40,4100,12.962497156874548,0.29852524278055853,14.978496667911333,13.176654444152414,18.94166959168357
dynamic_constant,41,4200,12.950349189906845,0.29508115559341075,14.925923162686193,13.249305435892072,18.577614432053004
dynamic_constant,42,4300,12.950349189906845,0.29508115559341075,14.9535273950308,13.277731950440018,18.702984289309658
dynamic_constant,43,4400,12.932697795295894,0.30060631875359867,14.97571965912089,13.29518338266872,18.74345315031427
dynamic_constant,44,4500,12.922884854416523,0.2853475677423932,14.936341383716385,13.350374830603897,18.42448623946113
dynamic_constant,45,4600,12.902476187770565,0.3007574805042243,14.91587186702057,13.288514334548353,18.85855702507051
dynamic_constant,46,4700,12.896164540406781,0.2975461663445942,14.883233749832062,13.25927907888728,18.48879764653492
dynamic_constant,47,4800,12.896164540406781,0.2975461663445942,14.937760242882328,13.207402292766485,18.80282951839803
dynamic_constant,48,4900,12.896164540406781,0.2975461663445942,14.951640092243201,13.30938325218786,18.54594378107
dynamic_constant,49,5000,12.894806689864307,0.29596454688679485,14.95788891273376,13.365508774013932,18.73608731631667
dynamic_constant,50,5100,12.87224743123591,0.29098246535527367,14.934446378671973,13.267800264994193,18.727088979122225
dynamic_constant,51,5200,12.87224743123591,0.29098246535527367,14.9882428923389,13.322532572541459,18.87894354516782
dynamic_constant,52,5300,12.852576046912011,0.28106477607424396,14.952995392139764,13.256536100296353,19.178117826647718
dynamic_constant,53,5400,12.852576046912011,0.28106477607424396,14.935082514857735,13.308314567143919,18.83502952785077
dynamic_constant,54,5500,12.852576046912011,0.28106477607424396,14.880343583501807,13.333154726076106,18.63632313264632
dynamic_constant,55,5600,12.852576046912011,0.28106477607424396,14.92631142132522,13.291603119038971,18.712081035161102
dynamic_constant,56,5700,12.852576046912011,0.28106477607424396,14.917901394492622,13.267633099892652,18.902999488038088
dynamic_constant,57,5800,12.848155553278385,0.2795850098645989,14.877050512568903,13.29338515865195,18.65488026977846
dynamic_constant,58,5900,12.848155553278385,0.2795850098645989,14.864320667257548,13.23971393129349,18.296914498968608
dynamic_constant,59,6000,12.848155553278385,0.2795850098645989,14.942853637233341,13.274563742709969,18.808878497859716
dynamic_constant,60,6100,12.848155553278385,0.2795850098645989,14.898003874227012,13.265780295131574,18.73727899785484
dynamic_constant,61,6200,12.833775745301566,0.2839111657464346,14.945714056390742,13.275391668663298,19.21697172240239
dynamic_constant,62,6300,12.833775745301566,0.2839111657464346,14.908534613583186,13.284892945821962,18.806300866965422
dynamic_constant,63,6400,12.833775745301566,0.2839111657464346,14.925481998812938,13.263075496233387,18.486110366443715
dynamic_constant,64,6500,12.832506909715633,0.28358037271925607,14.944522971381687,13.359872501305208,19.10046949975149
dynamic_constant,65,6600,12.832506909715633,0.28358037271925607,14.926991725543354,13.335994045685606,18.570929560177245
dynamic_constant,66,6700,12.832506909715633,0.28358037271925607,14.920982724740085,13.295893031817107,18.74052061253229
dynamic_constant,67,6800,12.822275421355926,0.2891377622230834,14.928511075182382,13.254665194044003,18.760413708916403
dynamic_constant,68,6900,12.821655229332748,0.2896001985994867,14.899863769058982,13.273961956322562,18.68632439896837
dynamic_constant,69,7000,12.821655229332748,0.2896001985994867,14.847022731808758,13.286452801485902,18.347059980802772
dynamic_constant,70,7100,12.810065594721618,0.28364284608902596,14.923019967108996,13.215697573629788,18.878780212061926
dynamic_constant,71,7200,12.810065594721618,0.28364284608902596,14.902591875529932,13.266061301833096,19.221293465158883
dynamic_constant,72,7300,12.805196443629518,0.2858926496757863,14.88837892296458,13.221005541927884,18.635930555991827
dynamic_constant,73,7400,12.805196443629518,0.2858926496757863,14.83689550028736,13.232332258813695,18.970223634297277
