condition,seed,generation,cumulative_evals,pop_best_fitness,pop_mean_fitness,pop_worst_fitness,pop_std_fitness,best_so_far
dynamic_constant,30,0,100,18.59666295470958,20.89472831558303,23.29192496674806,0.919251961075156,18.59666295470958
dynamic_constant,30,1,200,15.753720459187964,20.621914559443614,30.047722557505168,2.82171010957312,15.753720459187964
dynamic_constant,30,2,300,15.41547594742265,18.90257536264634,29.599999999999998,2.1706633831963065,15.41547594742265
dynamic_constant,30,3,400,14.159126028197399,17.774384007788395,23.978232998312528,1.7600339637005193,14.159126028197399
dynamic_constant,30,4,500,14.263976744055029,16.75727460734265,20.870828693386972,1.0224392404067775,14.159126028197399
dynamic_constant,30,5,600,14.114642819948225,16.2807872346459,17.98262224629348,0.8160407832027632,14.114642819948225
dynamic_constant,30,6,700,14.16468827043885,15.999108839309956,18.9591260281974,0.8558955695598776,14.114642819948225
dynamic_constant,30,7,800,13.93469899493758,15.762259045262342,18.656455991031436,0.8901129886878336,13.93469899493758
dynamic_constant,30,8,900,13.663818169698587,15.68850588877183,18.262098312457287,0.9374455525335669,13.663818169698587
dynamic_constant,30,9,1000,14.081138830084189,15.780883695468505,18.845207879911715,0.9765284357391477,13.663818169698587
dynamic_constant,30,10,1100,13.880697580112788,15.650277820106218,20.57907545067406,0.9930649624742669,13.663818169698587
dynamic_constant,30,11,1200,13.732050807568877,16.10298075832751,19.729563014098698,1.1476415226950762,13.663818169698587
dynamic_constant,30,12,1300,13.764911064067352,15.765491623635683,19.845207879911715,1.0948852201971921,13.663818169698587
dynamic_constant,30,13,1400,13.693737745050923,15.591407923268218,20.72074368738204,1.202120168375639,13.663818169698587
dynamic_constant,30,14,1500,13.549285568453591,15.423681659449214,17.55796522451032,0.8005331292214568,13.549285568453591
dynamic_constant,30,15,1600,13.549285568453591,15.144640276050643,17.95472369909914,0.8661478704558907,13.549285568453591
dynamic_constant,30,16,1700,13.219090595827293,15.35815567259604,20.769693845669906,1.1516223950733158,13.219090595827293
dynamic_constant,30,17,1800,13.20293863659264,15.281201919018551,19.95472369909914,1.067008019224335,13.20293863659264
dynamic_constant,30,18,1900,13.173320053068151,15.179233621203766,18.630495168499706,0.9429874905762812,13.173320053068151
dynamic_constant,30,19,2000,13.366190378969058,15.164691951076108,17.9,0.9849953464814186,13.173320053068151
dynamic_constant,30,20,2100,13.173320053068151,15.225844271871095,18.419803902718556,0.9474463225777257,13.173320053068151
dynamic_constant,30,21,2200,13.255294535724685,15.0459541684912,19.549444375840398,1.1041440327912913,13.173320053068151
dynamic_constant,30,22,2300,13.096662954709576,15.123676058566648,19.033907960581374,1.0048116849975657,13.096662954709576
dynamic_constant,30,23,2400,13.193737745050923,15.288779031648811,18.280350850198275,1.1537201461798532,13.096662954709576
dynamic_constant,30,24,2500,13.414213562373096,15.046563650031413,18.099999999999998,0.8847961117038079,13.096662954709576
dynamic_constant,30,25,2600,13.269693845669908,15.260185216258487,18.30516780926679,1.152043402927674,13.096662954709576
dynamic_constant,30,26,2700,13.512403840463595,15.29111670663438,18.183266665599966,1.0104450259523157,13.096662954709576
dynamic_constant,30,27,2800,13.68997487421324,15.333851342782593,19.41152144312159,0.9925122984111079,13.096662954709576
dynamic_constant,30,28,2900,13.193737745050923,15.42164402553859,18.208607914449797,1.1156808181458995,13.096662954709576
dynamic_constant,30,29,3000,13.200000000000001,15.397178110529538,21.372004514666937,1.3212512208730705,13.096662954709576
dynamic_constant,30,30,3100,13.336660026534076,15.357301681783321,20.00554700852678,1.2864816453331174,13.096662954709576
dynamic_constant,30,31,3200,13.505547008526777,15.460550674115387,19.013552872566002,1.228256124565078,13.096662954709576
dynamic_constant,30,32,3300,13.341640786499873,15.567940489811367,21.10768096208106,1.4100583455966653,13.096662954709576
dynamic_constant,30,33,3400,13.057583690279023,15.3823208187178,18.90665927567458,1.070655883874678,13.057583690279023
dynamic_constant,30,34,3500,12.988409872672513,15.406945404560286,20.448683298050515,1.1524676948976755,12.988409872672513
dynamic_constant,30,35,3600,13.380624847486569,15.415108799195693,18.588409872672514,1.1140257371712732,12.988409872672513
dynamic_constant,30,36,3700,13.449137674618944,15.449956699362206,19.04880884817015,1.103869428216382,12.988409872672513
dynamic_constant,30,37,3800,13.20332963783729,15.22557431144442,18.099999999999998,0.9931384263157966,12.988409872672513
dynamic_constant,30,38,3900,13.20332963783729,15.239093480695612,17.548999599679682,0.8695207832932206,12.988409872672513
dynamic_constant,30,39,4000,13.20332963783729,15.22993792964366,17.560252094164763,0.9609961673830285,12.988409872672513
dynamic_constant,30,40,4100,13.563818169698585,15.268605463032477,18.816624790355398,1.0499460967479661,12.988409872672513
dynamic_constant,30,41,4200,13.557583690279023,15.235895367695104,17.928991560298222,0.9932418337164409,12.988409872672513
